,id,text,score,sentiment,nltk_score,nltk_sentiment,combined_score,combined_sentiment,combined_granular_sentiment
0,1340539111971516416,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,0.0,Neutral,0.4019,Positive,0.20095,Positive,Optimistic
1,1338158543359250433,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… https://t.co/dlCHrZjkhm",-0.3967834995440523,Negative,-0.1027,Neutral,-0.24974174977202615,Negative,Skeptical
2,1337858199140118533,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years… https://t.co/ieYlCKBr8P,0.0,Neutral,0.25,Positive,0.125,Neutral,Neutral
3,1337855739918835717,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… https://t.co/jqgV18kch4",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
4,1337854064604966912,Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech… https://t.co/KxbSRoBEHq,0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
5,1337852648389832708,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… https://t.co/EifsyQoeKN,1.0663855026232514,Positive,0.7003,Positive,0.8833427513116257,Positive,Positive
6,1337851215875608579,"it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and… https://t.co/IfMrAyGyTP",-0.05760565098769499,Neutral,0.5423,Positive,0.2423471745061525,Positive,Optimistic
7,1337850832256176136,"There have not been many bright days in 2020 but here are some of the best 
1. #BidenHarris winning #Election2020… https://t.co/77u4f8XXfx",1.0501773885725656,Positive,0.8933,Positive,0.9717386942862828,Positive,Positive
8,1337850023531347969,"Covid vaccine; You getting it?

 #CovidVaccine #covid19 #PfizerBioNTech #Moderna",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
9,1337842295857623042,"#CovidVaccine 

States will start getting #COVID19Vaccine Monday, #US says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
10,1337841934170255365,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
11,1337840331522453507,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj,0.3155301222723877,Positive,0.7003,Positive,0.5079150611361939,Positive,Positive
12,1337815730486702087,The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9,0.0,Neutral,0.4939,Positive,0.24695,Positive,Optimistic
13,1337809196453081088,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte,0.0,Neutral,0.4215,Positive,0.21075,Positive,Optimistic
14,1337807109010780162,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
15,1337789467038523394,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY",0.38639720819736656,Positive,0.0,Neutral,0.19319860409868328,Neutral,Optimistic
16,1337789191598575616,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
17,1337783770070409218,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F",0.0,Neutral,0.0,Neutral,0.0,Neutral,Neutral
18,1337781178665816064,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,0.0,Neutral,-0.3919,Negative,-0.19595,Neutral,Skeptical
19,1337776763384958976,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD",-0.10946344920820816,Neutral,-0.1779,Neutral,-0.14368172460410408,Neutral,Neutral
20,1337774279862185986,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj,0.36768017457673063,Positive,0.0,Neutral,0.18384008728836532,Neutral,Optimistic
21,1337774059237629952,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,0.4308409874351405,Positive,0.2617,Positive,0.34627049371757024,Positive,Optimistic
22,1337773965595598848,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS",0.38639720819736656,Positive,0.0,Neutral,0.19319860409868328,Neutral,Optimistic
23,1337773751841144833,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,-0.2762702076105947,Negative,-0.1531,Neutral,-0.21468510380529734,Negative,Skeptical
